id_nino,cedula,nombre,apellido,edad
1,1104532696,Cryshna Consuelo ,Moscoso Peña,1
2,1104532697,Constanza ,Agudelo Forero,2
3,1104532698,Consuelo ,Guerrero Calderon,3
4,1104532699,Consuelo ,Reyes Suarez,4
5,1104532700,Cryshna Consuelo ,Moscoso Peña,1
6,1104532701,Diana Carolina ,Palacios Zaque,2
7,1104532702,Diana Marcela ,Herrera Herrera,3
8,1104532703,Diana Milena ,Sabogal Ramirez,4
9,1104532704,Diana Patricia ,Avila Saenz,1
10,1104532705,Diana Patricia ,Benavidez Solorza,2
11,1104532706,Diego Andres ,Valero Garay,3
12,1104532707,Dolly Janeth, Prada Guzman,4
13,1104532708,Elizabeth ,Cardenas Martinez,1
14,1104532709,Elizabeth, Jaimes Sanchez,2
15,1104532710,Elkin Ronald ,Puche Vega,3
16,1104532711,Erley ,Camacho Mendoza,4
17,1104532712,Erika Yineth ,Villalba Olaya,1
18,1104532713,Erika Andrea ,Vanegas Herrera,2
19,1104532714,Fabian ,Rico Rodriguez,3
20,1104532715,Fanny Esmeralda ,Paez Gonzalez,4
21,1104532716,Fermin, Ariza Iglesias,1
22,1104532717,France Juranni ,Cendales Ladino,2
23,1104532718,Gaby Elenith, Manzano Uribe,3
24,1104532719,Gilma, Espinosa Diaz,4
25,1104532720,Graciela , Perez Ossa,1
26,1104532721,Gloria Amparo,Martinez Parra,2
27,1104532722,Gloria Isabel , Lopez Figueroa,3
28,1104532723,Gloria Patricia, Lopez Figueroa,4
29,1104532724,Gloria Rocio ,Cabrera Sanchez,1
30,1104532725,Gustavo Alberto ,Mendoza Lopez,2
31,1104532726,Graciela, Perez Ossa,3
32,1104532727,Gloria Patricia, Lopez Figueroa,4
33,1104532728,Gaby Elenith, Manzano Uribe,1
34,1104532729,Gaby Elenith, Manzano Uribe,2
35,1104532730,Gaby Elenith, Manzano Uribe,3
36,1104532731,Gaby Elenith, Manzano Uribe,4
37,1104532732,Gaby Elenith, Manzano Uribe,1
38,1104532733,Gaby Elenith, Manzano Uribe,2
39,1104532734,Gaby Elenith, Manzano Uribe,3
40,1104532735,Gaby Elenith, Manzano Uribe,4
